Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00 69763072     0.00     0.00  Matrix::b(unsigned int, unsigned int)
  0.00      0.00     0.00 69763072     0.00     0.00  Matrix::g(unsigned int, unsigned int)
  0.00      0.00     0.00 69763072     0.00     0.00  Matrix::r(unsigned int, unsigned int)
  0.00      0.00     0.00 17827842     0.00     0.00  Matrix::get_y_size() const
  0.00      0.00     0.00 15730692     0.00     0.00  Matrix::get_x_size() const
  0.00      0.00     0.00  3145728     0.00     0.00  Matrix::b(unsigned int, unsigned int) const
  0.00      0.00     0.00  3145728     0.00     0.00  Matrix::g(unsigned int, unsigned int) const
  0.00      0.00     0.00  3145728     0.00     0.00  Matrix::r(unsigned int, unsigned int) const
  0.00      0.00     0.00  2097152     0.00     0.00  Filter::Gauss::get_weights(int, double*)
  0.00      0.00     0.00     4440     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00     3096     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.00     0.00     2952     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00      0.00     0.00     2952     0.00     0.00  std::vector<char, std::allocator<char> >::data()
  0.00      0.00     0.00     2235     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2226     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      0.00     0.00     2217     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.00     0.00     1551     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      0.00     0.00     1548     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >::__normal_iterator(std::pair<char, char> const* const&)
  0.00      0.00     0.00     1548     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >::base() const
  0.00      0.00     0.00     1548     0.00     0.00  std::_Base_bitset<4ul>::_S_whichbit(unsigned long)
  0.00      0.00     0.00     1488     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > >::__normal_iterator(std::__cxx11::regex_traits<char>::_RegexMask const* const&)
  0.00      0.00     0.00     1488     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > >::base() const
  0.00      0.00     0.00     1482     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::end() const
  0.00      0.00     0.00     1482     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.00      0.00     0.00     1479     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.00     0.00     1479     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
